,reserves,inflation,debt
2000-01-31,1131355289.18666,6.17627591012045,96.9040326453759
2000-02-29,1131355289.18666,6.17627591012045,96.9040326453759
2000-03-31,1131355289.18666,6.17627591012045,96.9040326453759
2000-04-30,1131355289.18666,6.17627591012045,96.9040326453759
2000-05-31,1131355289.18666,6.17627591012045,96.9040326453759
2000-06-30,1131355289.18666,6.17627591012045,96.9040326453759
2000-07-31,1131355289.18666,6.17627591012045,96.9040326453759
2000-08-31,1131355289.18666,6.17627591012045,96.9040326453759
2000-09-30,1131355289.18666,6.17627591012045,96.9040326453759
2000-10-31,1131355289.18666,6.17627591012045,96.9040326453759
2000-11-30,1131355289.18666,6.17627591012045,96.9040326453759
2000-12-31,1131355289.18666,6.17627591012045,96.9040326453759
2001-01-31,1357451866.36814,14.15845579912,103.219274149885
2001-02-28,1357451866.36814,14.15845579912,103.219274149885
2001-03-31,1357451866.36814,14.15845579912,103.219274149885
2001-04-30,1357451866.36814,14.15845579912,103.219274149885
2001-05-31,1357451866.36814,14.15845579912,103.219274149885
2001-06-30,1357451866.36814,14.15845579912,103.219274149885
2001-07-31,1357451866.36814,14.15845579912,103.219274149885
2001-08-31,1357451866.36814,14.15845579912,103.219274149885
2001-09-30,1357451866.36814,14.15845579912,103.219274149885
2001-10-31,1357451866.36814,14.15845579912,103.219274149885
2001-11-30,1357451866.36814,14.15845579912,103.219274149885
2001-12-31,1357451866.36814,14.15845579912,103.219274149885
2002-01-31,1705155736.72707,9.55103167007251,105.524990754701
2002-02-28,1705155736.72707,9.55103167007251,105.524990754701
2002-03-31,1705155736.72707,9.55103167007251,105.524990754701
2002-04-30,1705155736.72707,9.55103167007251,105.524990754701
2002-05-31,1705155736.72707,9.55103167007251,105.524990754701
2002-06-30,1705155736.72707,9.55103167007251,105.524990754701
2002-07-31,1705155736.72707,9.55103167007251,105.524990754701
2002-08-31,1705155736.72707,9.55103167007251,105.524990754701
2002-09-30,1705155736.72707,9.55103167007251,105.524990754701
2002-10-31,1705155736.72707,9.55103167007251,105.524990754701
2002-11-30,1705155736.72707,9.55103167007251,105.524990754701
2002-12-31,1705155736.72707,9.55103167007251,105.524990754701
2003-01-31,2333781502.23926,6.31463787051174,102.270712023476
2003-02-28,2333781502.23926,6.31463787051174,102.270712023476
2003-03-31,2333781502.23926,6.31463787051174,102.270712023476
2003-04-30,2333781502.23926,6.31463787051174,102.270712023476
2003-05-31,2333781502.23926,6.31463787051174,102.270712023476
2003-06-30,2333781502.23926,6.31463787051174,102.270712023476
2003-07-31,2333781502.23926,6.31463787051174,102.270712023476
2003-08-31,2333781502.23926,6.31463787051174,102.270712023476
2003-09-30,2333781502.23926,6.31463787051174,102.270712023476
2003-10-31,2333781502.23926,6.31463787051174,102.270712023476
2003-11-30,2333781502.23926,6.31463787051174,102.270712023476
2003-12-31,2333781502.23926,6.31463787051174,102.270712023476
2004-01-31,2204868879.49586,7.57592582995856,102.328536698869
2004-02-29,2204868879.49586,7.57592582995856,102.328536698869
2004-03-31,2204868879.49586,7.57592582995856,102.328536698869
2004-04-30,2204868879.49586,7.57592582995856,102.328536698869
2004-05-31,2204868879.49586,7.57592582995856,102.328536698869
2004-06-30,2204868879.49586,7.57592582995856,102.328536698869
2004-07-31,2204868879.49586,7.57592582995856,102.328536698869
2004-08-31,2204868879.49586,7.57592582995856,102.328536698869
2004-09-30,2204868879.49586,7.57592582995856,102.328536698869
2004-10-31,2204868879.49586,7.57592582995856,102.328536698869
2004-11-30,2204868879.49586,7.57592582995856,102.328536698869
2004-12-31,2204868879.49586,7.57592582995856,102.328536698869
2005-01-31,2734967767.26121,11.6396860971118,90.6049131149854
2005-02-28,2734967767.26121,11.6396860971118,90.6049131149854
2005-03-31,2734967767.26121,11.6396860971118,90.6049131149854
2005-04-30,2734967767.26121,11.6396860971118,90.6049131149854
2005-05-31,2734967767.26121,11.6396860971118,90.6049131149854
2005-06-30,2734967767.26121,11.6396860971118,90.6049131149854
2005-07-31,2734967767.26121,11.6396860971118,90.6049131149854
2005-08-31,2734967767.26121,11.6396860971118,90.6049131149854
2005-09-30,2734967767.26121,11.6396860971118,90.6049131149854
2005-10-31,2734967767.26121,11.6396860971118,90.6049131149854
2005-11-30,2734967767.26121,11.6396860971118,90.6049131149854
2005-12-31,2734967767.26121,11.6396860971118,90.6049131149854
2006-01-31,2832098098.88232,10.0201836057035,88.6994841221229
2006-02-28,2832098098.88232,10.0201836057035,88.6994841221229
2006-03-31,2832098098.88232,10.0201836057035,88.6994841221229
2006-04-30,2832098098.88232,10.0201836057035,88.6994841221229
2006-05-31,2832098098.88232,10.0201836057035,88.6994841221229
2006-06-30,2832098098.88232,10.0201836057035,88.6994841221229
2006-07-31,2832098098.88232,10.0201836057035,88.6994841221229
2006-08-31,2832098098.88232,10.0201836057035,88.6994841221229
2006-09-30,2832098098.88232,10.0201836057035,88.6994841221229
2006-10-31,2832098098.88232,10.0201836057035,88.6994841221229
2006-11-30,2832098098.88232,10.0201836057035,88.6994841221229
2006-12-31,2832098098.88232,10.0201836057035,88.6994841221229
2007-01-31,3518418228.00438,15.8421114924843,84.9944169483341
2007-02-28,3518418228.00438,15.8421114924843,84.9944169483341
2007-03-31,3518418228.00438,15.8421114924843,84.9944169483341
2007-04-30,3518418228.00438,15.8421114924843,84.9944169483341
2007-05-31,3518418228.00438,15.8421114924843,84.9944169483341
2007-06-30,3518418228.00438,15.8421114924843,84.9944169483341
2007-07-31,3518418228.00438,15.8421114924843,84.9944169483341
2007-08-31,3518418228.00438,15.8421114924843,84.9944169483341
2007-09-30,3518418228.00438,15.8421114924843,84.9944169483341
2007-10-31,3518418228.00438,15.8421114924843,84.9944169483341
2007-11-30,3518418228.00438,15.8421114924843,84.9944169483341
2007-12-31,3518418228.00438,15.8421114924843,84.9944169483341
2008-01-31,2616559583.33783,22.5644955300126,84.9944169483341
2008-02-29,2616559583.33783,22.5644955300126,84.9944169483341
2008-03-31,2616559583.33783,22.5644955300126,84.9944169483341
2008-04-30,2616559583.33783,22.5644955300126,84.9944169483341
2008-05-31,2616559583.33783,22.5644955300126,84.9944169483341
2008-06-30,2616559583.33783,22.5644955300126,84.9944169483341
2008-07-31,2616559583.33783,22.5644955300126,84.9944169483341
2008-08-31,2616559583.33783,22.5644955300126,84.9944169483341
2008-09-30,2616559583.33783,22.5644955300126,84.9944169483341
2008-10-31,2616559583.33783,22.5644955300126,84.9944169483341
2008-11-30,2616559583.33783,22.5644955300126,84.9944169483341
2008-12-31,2616559583.33783,22.5644955300126,84.9944169483341
2009-01-31,5353610216.22721,3.46496322106074,86.063491912486
2009-02-28,5353610216.22721,3.46496322106074,86.063491912486
2009-03-31,5353610216.22721,3.46496322106074,86.063491912486
2009-04-30,5353610216.22721,3.46496322106074,86.063491912486
2009-05-31,5353610216.22721,3.46496322106074,86.063491912486
2009-06-30,5353610216.22721,3.46496322106074,86.063491912486
2009-07-31,5353610216.22721,3.46496322106074,86.063491912486
2009-08-31,5353610216.22721,3.46496322106074,86.063491912486
2009-09-30,5353610216.22721,3.46496322106074,86.063491912486
2009-10-31,5353610216.22721,3.46496322106074,86.063491912486
2009-11-30,5353610216.22721,3.46496322106074,86.063491912486
2009-12-31,5353610216.22721,3.46496322106074,86.063491912486
2010-01-31,7195358507.00001,6.2176488930462,69.2530251841806
2010-02-28,7195358507.00001,6.2176488930462,69.2530251841806
2010-03-31,7195358507.00001,6.2176488930462,69.2530251841806
2010-04-30,7195358507.00001,6.2176488930462,69.2530251841806
2010-05-31,7195358507.00001,6.2176488930462,69.2530251841806
2010-06-30,7195358507.00001,6.2176488930462,69.2530251841806
2010-07-31,7195358507.00001,6.2176488930462,69.2530251841806
2010-08-31,7195358507.00001,6.2176488930462,69.2530251841806
2010-09-30,7195358507.00001,6.2176488930462,69.2530251841806
2010-10-31,7195358507.00001,6.2176488930462,69.2530251841806
2010-11-30,7195358507.00001,6.2176488930462,69.2530251841806
2010-12-31,7195358507.00001,6.2176488930462,69.2530251841806
2011-01-31,6739196545.08981,6.7167684358854,68.5257394056158
2011-02-28,6739196545.08981,6.7167684358854,68.5257394056158
2011-03-31,6739196545.08981,6.7167684358854,68.5257394056158
2011-04-30,6739196545.08981,6.7167684358854,68.5257394056158
2011-05-31,6739196545.08981,6.7167684358854,68.5257394056158
2011-06-30,6739196545.08981,6.7167684358854,68.5257394056158
2011-07-31,6739196545.08981,6.7167684358854,68.5257394056158
2011-08-31,6739196545.08981,6.7167684358854,68.5257394056158
2011-09-30,6739196545.08981,6.7167684358854,68.5257394056158
2011-10-31,6739196545.08981,6.7167684358854,68.5257394056158
2011-11-30,6739196545.08981,6.7167684358854,68.5257394056158
2011-12-31,6739196545.08981,6.7167684358854,68.5257394056158
2012-01-31,7106460348.66884,7.54291373239437,66.747235367113
2012-02-29,7106460348.66884,7.54291373239437,66.747235367113
2012-03-31,7106460348.66884,7.54291373239437,66.747235367113
2012-04-30,7106460348.66884,7.54291373239437,66.747235367113
2012-05-31,7106460348.66884,7.54291373239437,66.747235367113
2012-06-30,7106460348.66884,7.54291373239437,66.747235367113
2012-07-31,7106460348.66884,7.54291373239437,66.747235367113
2012-08-31,7106460348.66884,7.54291373239437,66.747235367113
2012-09-30,7106460348.66884,7.54291373239437,66.747235367113
2012-10-31,7106460348.66884,7.54291373239437,66.747235367113
2012-11-30,7106460348.66884,7.54291373239437,66.747235367113
2012-12-31,7106460348.66884,7.54291373239437,66.747235367113
2013-01-31,7500000871.53903,6.90845034828452,68.3536165599981
2013-02-28,7500000871.53903,6.90845034828452,68.3536165599981
2013-03-31,7500000871.53903,6.90845034828452,68.3536165599981
2013-04-30,7500000871.53903,6.90845034828452,68.3536165599981
2013-05-31,7500000871.53903,6.90845034828452,68.3536165599981
2013-06-30,7500000871.53903,6.90845034828452,68.3536165599981
2013-07-31,7500000871.53903,6.90845034828452,68.3536165599981
2013-08-31,7500000871.53903,6.90845034828452,68.3536165599981
2013-09-30,7500000871.53903,6.90845034828452,68.3536165599981
2013-10-31,7500000871.53903,6.90845034828452,68.3536165599981
2013-11-30,7500000871.53903,6.90845034828452,68.3536165599981
2013-12-31,7500000871.53903,6.90845034828452,68.3536165599981
2014-01-31,8210750127.74159,3.1790022823606,68.5910423357715
2014-02-28,8210750127.74159,3.1790022823606,68.5910423357715
2014-03-31,8210750127.74159,3.1790022823606,68.5910423357715
2014-04-30,8210750127.74159,3.1790022823606,68.5910423357715
2014-05-31,8210750127.74159,3.1790022823606,68.5910423357715
2014-06-30,8210750127.74159,3.1790022823606,68.5910423357715
2014-07-31,8210750127.74159,3.1790022823606,68.5910423357715
2014-08-31,8210750127.74159,3.1790022823606,68.5910423357715
2014-09-30,8210750127.74159,3.1790022823606,68.5910423357715
2014-10-31,8210750127.74159,3.1790022823606,68.5910423357715
2014-11-30,8210750127.74159,3.1790022823606,68.5910423357715
2014-12-31,8210750127.74159,3.1790022823606,68.5910423357715
2015-01-31,7302096590.22385,3.76836783062096,73.5126591624451
2015-02-28,7302096590.22385,3.76836783062096,73.5126591624451
2015-03-31,7302096590.22385,3.76836783062096,73.5126591624451
2015-04-30,7302096590.22385,3.76836783062096,73.5126591624451
2015-05-31,7302096590.22385,3.76836783062096,73.5126591624451
2015-06-30,7302096590.22385,3.76836783062096,73.5126591624451
2015-07-31,7302096590.22385,3.76836783062096,73.5126591624451
2015-08-31,7302096590.22385,3.76836783062096,73.5126591624451
2015-09-30,7302096590.22385,3.76836783062096,73.5126591624451
2015-10-31,7302096590.22385,3.76836783062096,73.5126591624451
2015-11-30,7302096590.22385,3.76836783062096,73.5126591624451
2015-12-31,7302096590.22385,3.76836783062096,73.5126591624451
2016-01-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-02-29,6008199165.17799,3.9588884659307,73.5126591624451
2016-03-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-04-30,6008199165.17799,3.9588884659307,73.5126591624451
2016-05-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-06-30,6008199165.17799,3.9588884659307,73.5126591624451
2016-07-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-08-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-09-30,6008199165.17799,3.9588884659307,73.5126591624451
2016-10-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-11-30,6008199165.17799,3.9588884659307,73.5126591624451
2016-12-31,6008199165.17799,3.9588884659307,73.5126591624451
2017-01-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-02-28,7959047614.93675,7.70413767850602,73.5126591624451
2017-03-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-04-30,7959047614.93675,7.70413767850602,73.5126591624451
2017-05-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-06-30,7959047614.93675,7.70413767850602,73.5126591624451
2017-07-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-08-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-09-30,7959047614.93675,7.70413767850602,73.5126591624451
2017-10-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-11-30,7959047614.93675,7.70413767850602,73.5126591624451
2017-12-31,7959047614.93675,7.70413767850602,73.5126591624451
2018-01-31,6920825566.09992,2.135037737132,73.5126591624451
2018-02-28,6920825566.09992,2.135037737132,73.5126591624451
2018-03-31,6920825566.09992,2.135037737132,73.5126591624451
2018-04-30,6920825566.09992,2.135037737132,73.5126591624451
2018-05-31,6920825566.09992,2.135037737132,73.5126591624451
2018-06-30,6920825566.09992,2.135037737132,73.5126591624451
2018-07-31,6920825566.09992,2.135037737132,73.5126591624451
2018-08-31,6920825566.09992,2.135037737132,73.5126591624451
2018-09-30,6920825566.09992,2.135037737132,73.5126591624451
2018-10-31,6920825566.09992,2.135037737132,73.5126591624451
2018-11-30,6920825566.09992,2.135037737132,73.5126591624451
2018-12-31,6920825566.09992,2.135037737132,73.5126591624451
2019-01-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-02-28,7648305273.42442,3.52839358231811,73.5126591624451
2019-03-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-04-30,7648305273.42442,3.52839358231811,73.5126591624451
2019-05-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-06-30,7648305273.42442,3.52839358231811,73.5126591624451
2019-07-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-08-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-09-30,7648305273.42442,3.52839358231811,73.5126591624451
2019-10-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-11-30,7648305273.42442,3.52839358231811,73.5126591624451
2019-12-31,7648305273.42442,3.52839358231811,73.5126591624451
2020-01-31,5663994385.32784,6.15394508391738,73.5126591624451
2020-02-29,5663994385.32784,6.15394508391738,73.5126591624451
2020-03-31,5663994385.32784,6.15394508391738,73.5126591624451
2020-04-30,5663994385.32784,6.15394508391738,73.5126591624451
2020-05-31,5663994385.32784,6.15394508391738,73.5126591624451
2020-06-30,5663994385.32784,6.15394508391738,73.5126591624451
2020-07-31,5663994385.32784,6.15394508391738,73.5126591624451
2020-08-31,5663994385.32784,6.15394508391738,73.5126591624451
2020-09-30,5663994385.32784,6.15394508391738,73.5126591624451
2020-10-31,5663994385.32784,6.15394508391738,73.5126591624451
2020-11-30,5663994385.32784,6.15394508391738,73.5126591624451
2020-12-31,5663994385.32784,6.15394508391738,73.5126591624451
2021-01-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-02-28,3136991506.34787,7.01478071238195,73.5126591624451
2021-03-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-04-30,3136991506.34787,7.01478071238195,73.5126591624451
2021-05-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-06-30,3136991506.34787,7.01478071238195,73.5126591624451
2021-07-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-08-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-09-30,3136991506.34787,7.01478071238195,73.5126591624451
2021-10-31,3136991506.34787,7.01478071238195,73.5126591624451
2021-11-30,3136991506.34787,7.01478071238195,73.5126591624451
2021-12-31,3136991506.34787,7.01478071238195,73.5126591624451
2022-01-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-02-28,1896231717.15846,49.7211021114327,73.5126591624451
2022-03-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-04-30,1896231717.15846,49.7211021114327,73.5126591624451
2022-05-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-06-30,1896231717.15846,49.7211021114327,73.5126591624451
2022-07-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-08-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-09-30,1896231717.15846,49.7211021114327,73.5126591624451
2022-10-31,1896231717.15846,49.7211021114327,73.5126591624451
2022-11-30,1896231717.15846,49.7211021114327,73.5126591624451
2022-12-31,1896231717.15846,49.7211021114327,73.5126591624451
2023-01-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-02-28,4405117005.00662,16.5411742279832,73.5126591624451
2023-03-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-04-30,4405117005.00662,16.5411742279832,73.5126591624451
2023-05-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-06-30,4405117005.00662,16.5411742279832,73.5126591624451
2023-07-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-08-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-09-30,4405117005.00662,16.5411742279832,73.5126591624451
2023-10-31,4405117005.00662,16.5411742279832,73.5126591624451
2023-11-30,4405117005.00662,16.5411742279832,73.5126591624451
2023-12-31,4405117005.00662,16.5411742279832,73.5126591624451
2024-01-31,6093946546.37437,-0.42936004906973,73.5126591624451
